App Name,Transit client,,,,,,,,,,
"All estimates factor in time to design, develop and test the feature.",,,,,,,,,,,
Base,16280,,,,Multipliers,,,,,,
Total,16280,,,,,,,,,,
,,,,,Quality,Num (1 per group),,,,,
,Platforms,#items,Partials,,Demo,0,0,"0,75",,,
,iOS,1,800,,Production – standard,1,1,1,,,
,Android,1,800,,Production – pro,0,0,"1,5",,,
,Scaffolding,,,,,1,1,,,,
scaffolding,Nav and structure (fixed),,1400,,Device type,,,,,Screen impact (device+orientation + controls),
scaffolding,Number of screens,7,7280,,phone,1,1,1,,1,
,,,,,Phone + tablet,0,0,"1,15",,,
,Scaffolding total,8680,,,,1,1,,,,
,Scaffolding corrected,8680,,,Orientation,,,,,,
,,,,,One orientation,1,1,1,,,
Features,,#items,,,Both,0,0,"1,15",,,
auth,Login email (token),,0,,,1,1,,,Overall impact,(quality + languages + platforms)
auth,Login social (per provider),,0,,,,,,,1,
data,Device storage – simple model,1,400,,Number of languages,1,0,"1,15",,,
data,Device storage – complex model,1,1000,,,,1,,,,
api-integration,API integration – read only endpoint,3,1200,,Number of platforms,1,0,"1,15",,,
api-integration,API integration – read only authenticated endpoint,,0,,,,1,,,,
api-integration,API integration – write authenticated endpoint,,0,,Controls,,,,,,
media,Barcode / qrcode,,0,,Standard,1,1,1,,,
device,Contacts integration,,0,,Custom,0,0,"1,5",,,
media,Camera capture,,0,,,1,1,,,,
media,Camera roll read/save,,0,,,,,,,,
media,Audio / video capture,,0,,,,,,,,
media,Advanced audio,,0,,,,,,,,
media,Advanced video,,0,,,,,,,,
media,Advanced gallery,,0,,,,,,,,
device,Calendar integration,,0,,,,,,,,
media,Filesystem access,,0,,,,,,,,
device,Badge,,0,,,,,,,,
device,Clipboard access,,0,,,,,,,,
device,Flashlight,,0,,,,,,,,
device,Keychain access,,0,,,,,,,,
device,Printing,,0,,,,,,,,
device,Healthkit integration (ios),,0,,,,,,,,
communication,Push Notifications,,0,,,,,,,,
social,Generic social sharing,,0,,,,,,,,
social,Advanced Facebook integration,,0,,,,,,,,
social,Advanced Twitter integration,,0,,,,,,,,
social,Advanced Instagram integration,,0,,,,,,,,
communication,Email sending from device,,0,,,,,,,,
communication,File download,,0,,,,,,,,
communication,File upload,,0,,,,,,,,
communication,Web scraping,,0,,,,,,,,
communication,SMS,,0,,,,,,,,
communication,In App browser,,0,,,,,,,,
communication,Local notification (Events scheduling),,0,,,,,,,,
social,App rate,,0,,,,,,,,
communication,Bluetooth,,0,,,,,,,,
geo,Geolocation,1,800,,,,,,,,
geo,Background geolocation / geofencing,,0,,,,,,,,
device,Device motion and orientation,,0,,,,,,,,
geo,Maps – simple,1,1600,,,,,,,,
geo,Maps – complex,0,0,,,,,,,,
ecommerce,In app-payments (in-app purchase in store),,0,,,,,,,,
ecommerce,Admob integration,,0,,,,,,,,
ecommerce,iAd integration,,0,,,,,,,,
ecommerce,Facebook ads integration,,0,,,,,,,,
graphics,Spash,1,400,,,,,,,,
graphics,Icon,1,800,,,,,,,,
graphics,Custom icons (about 10),,0,,,,,,,,
graphics,Custom illustration (1),,0,,,,,,,,
deployment,Store deployment (per store),1,800,,,,,,,,
deployment,Internal distribution,,0,,,,,,,,
services-integration,Google Analytics,1,600,,,,,,,,
content,Content import (no api) – per model (simple),,0,,,,,,,,
content,Content import (no api) – per model (complex),,0,,,,,,,,
content,"Text content import (short text, 1000 words)",,0,,,,,,,,
,,,,,,,,,,,
,,Features total,7600,,,,,,,,
